eventID,eventType,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
PSZMP_20140325_NIT,cruise,,2014-03-25T10:35:00-0700,,,47.18,-122.833,"POLYGON ((-122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.8318 47.17997, -122.8355 47.17593))",EPSG:4326,"South Sound, Salish Sea",US,0.0,40.0,
PSZMP_20140401_NIT,cruise,,2014-04-01T10:01:00-0700,,,47.144,-122.644,"POLYGON ((-122.6354 47.13843, -122.6367 47.13892, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140404_PGST_WDFW,cruise,,2014-04-04T13:00:00-0700,,,48.003,-122.636,POINT (-122.636 48.00273),EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,100.0,
PSZMP_20140409_KC,cruise,,2014-04-09T09:25:00-0700,,,47.545,-122.416,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4282 47.74396, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140409_NIT,cruise,,2014-04-09T10:30:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,123.0,
PSZMP_20140421_KC,cruise,,2014-04-21T14:20:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140422_KC,cruise,,2014-04-22T14:20:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140422_NIT,cruise,,2014-04-22T10:35:00-0700,,,47.18,-122.833,"POLYGON ((-122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.8318 47.17997, -122.8355 47.17593))",EPSG:4326,"South Sound, Salish Sea",US,0.0,45.0,
PSZMP_20140425_NOAA,cruise,,2014-04-25T11:40:00-0700,,,48.407,-122.567,"POLYGON ((-122.556 48.40463, -122.5783 48.40622, -122.5657 48.41155, -122.556 48.40463))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,24.0,
PSZMP_20140429_NIT,cruise,,2014-04-29T09:59:00-0700,,,47.144,-122.644,"POLYGON ((-122.6354 47.13843, -122.6367 47.13892, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140430_KWT,cruise,,2014-04-30T17:36:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140501_KWT,cruise,,2014-05-01T19:10:00-0700,,,48.681,-123.043,"POLYGON ((-123.0481 48.67437, -123.0412 48.68303, -123.04 48.68448, -123.0481 48.67437))",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140506_KC,cruise,,2014-05-06T09:55:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
